x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,method,true_ll
609.4073140344408,609.3264115427883,609.2465194335236,609.1659760065231,609.084193319024,609.0005693673738,608.9144832903985,608.8252904205729,608.7323171482567,608.6348555624281,608.5321578334551,608.4234303014673,608.3078272344137,608.1844442207366,608.0523111609655,607.9103848240775,607.7575409353594,607.5925657649641,607.414147188756,607.2208651974943,607.0111818350124,mnl,81568.33940064537
609.3805809728801,609.328238393311,609.2777275463013,609.2272634218825,609.1765409604268,609.1252526128228,609.0730860289914,609.0197217094392,608.9648306011804,608.9080716200551,608.8490890805842,608.7875100148522,608.7229413599853,608.6549669957021,608.5831446103839,608.5070023744047,608.4260353999125,608.3397019628464,608.2474194654205,608.1485601144959,608.042446291307,mnl,81568.33940064537
609.3605771661969,609.2890270689677,609.2180452862231,609.146072937554,609.0726362727291,608.9972483170131,608.919405188004,608.8385822729178,608.7542302385991,608.6657708448183,608.572592532335,608.4740457535081,608.3694380160159,608.2580286058801,608.1390229570679,608.0115666342026,607.8747388932388,607.7275457852666,607.5689127689257,607.3976767974818,607.2125778460904,mnl,81568.33940064537
609.1981333492586,609.1403049066284,609.0830572183186,609.0247511312336,608.9650374712946,608.9035542140628,608.8399238264101,608.7737504747201,608.7046170792746,608.6320821933768,608.5556766860682,608.4749002050376,608.3892173957865,608.2980538523989,608.200791773852,608.096765298571,607.9852554893441,607.8654849402665,607.7366119760991,607.5977244144742,607.4478328610421,mnl,81568.33940064537
609.0908722918393,609.0311385814857,608.9713731009251,608.9094142000831,608.8448582855781,608.7772802658437,608.706230324402,608.6312304956373,608.5517710191634,608.4673064473609,608.3772514804441,608.2809765007696,608.1778027796681,608.0669973255717,607.9477673453512,607.8192542863981,607.6805274294456,607.5305770004343,607.3683067711536,607.1925261187134,607.0019415166753,mnl,81568.33940064537
609.1428041912004,609.0720518914022,609.0014905918797,608.9292728199944,608.8549487311684,608.778052800626,608.6981004458212,608.6145844957646,608.5269714811875,608.4346977173409,608.3371651538037,608.2337369601737,608.1237328182615,608.0064238881023,607.8810274154384,607.7467009451939,607.6025361055945,607.4475519255066,607.2806876470859,607.1007949947525,606.9066298619873,mnl,81568.33940064537
609.1666575056879,609.1150277154811,609.0630106940225,609.0089275027567,608.9524158308195,608.8930916194658,608.8305459831608,608.7643419118976,608.694010729334,608.6190482779348,608.5389108024247,608.4530104991281,608.3607106991112,608.2613206480019,608.1540898466337,608.0382019118551,607.9127679168014,607.776819167033,607.6292993680108,607.4690561382449,607.2948318215058,mnl,81568.33940064537
609.2026390599785,609.1587743986747,609.1148539850401,609.0696389905352,609.0228733912663,608.9742894980445,608.9236060354015,608.8705261072901,608.8147350324871,608.7558980331523,608.6936577581655,608.6276316221047,608.5574089381116,608.4825478240673,608.402571855142,608.3169664399175,608.2251748898998,608.126594153553,608.0205701829545,607.9063928980759,607.7832907128177,mnl,81568.33940064537
609.3822820334171,609.3148807290563,609.2483306850627,609.1812493433536,609.1132269150839,609.0438441382721,608.9726692863333,608.8992550711118,608.823135418017,608.7438220909389,608.6608011429344,608.5735291700403,608.4814293418749,608.3838871844928,608.2802460879175,608.1698025119113,608.0518008608924,607.9254279998859,607.7898073815595,607.6439927550091,607.4869614272466,mnl,81568.33940064537
609.2496354790055,609.2045745843207,609.1589786466648,609.1121298174694,609.0637481169397,609.0135425341578,608.9612090137525,608.9064283516927,608.8488639867865,608.7881596736843,608.723937022296,608.655792888705,608.5832966026646,608.5059870141267,608.4233693442511,608.3349118226179,608.2400420945633,608.1381433807837,608.0285503722553,607.910544843995,607.7833509694901,mnl,81568.33940064537
